,BusinessDate,PLU,ReceivedQuantity,SoldQuantity,EndQuantity,StockedOut,Holiday,IsWeekend,AverageTemp
0,20190629,830620,6.0,0.0,0.0,0,0,1,69.0
13,20190630,830620,6.0,3.0,0.0,0,0,1,69.0
27,20190701,830620,6.0,3.0,0.0,0,0,0,74.62
41,20190702,830620,4.0,3.0,0.0,1,0,0,74.62
54,20190703,830620,6.0,3.0,0.0,0,0,0,74.62
68,20190704,830620,4.0,4.0,0.0,1,1,0,74.62
82,20190705,830620,4.0,4.0,0.0,1,0,0,74.62
96,20190706,830620,6.0,6.0,0.0,1,0,1,74.62
109,20190707,830620,6.0,2.0,0.0,0,0,1,74.62
123,20190708,830620,4.0,2.0,0.0,0,0,0,74.62
136,20190709,830620,4.0,4.0,0.0,1,0,0,74.62
150,20190710,830620,6.0,4.0,0.0,0,0,0,74.62
163,20190711,830620,6.0,6.0,0.0,1,0,0,74.62
176,20190712,830620,8.0,8.0,0.0,1,0,0,74.62
190,20190713,830620,4.0,4.0,0.0,1,0,1,74.62
203,20190714,830620,4.0,4.0,0.0,1,0,1,74.62
217,20190715,830620,4.0,4.0,0.0,1,0,0,74.62
230,20190716,830620,4.0,1.0,0.0,0,0,0,74.62
243,20190717,830620,6.0,5.0,0.0,1,0,0,74.62
256,20190718,830620,8.0,4.0,0.0,0,0,0,74.62
270,20190719,830620,8.0,4.0,0.0,0,0,0,74.62
284,20190720,830620,4.0,4.0,0.0,1,0,1,74.62
297,20190721,830620,4.0,2.0,0.0,0,0,1,74.62
311,20190722,830620,4.0,3.0,0.0,1,0,0,74.62
325,20190723,830620,4.0,1.0,0.0,0,0,0,74.62
338,20190724,830620,6.0,3.0,0.0,0,0,0,74.62
352,20190725,830620,6.0,2.0,0.0,0,0,0,74.62
365,20190726,830620,8.0,3.0,0.0,0,0,0,74.62
378,20190727,830620,4.0,3.0,0.0,1,0,1,74.62
392,20190728,830620,4.0,4.0,0.0,1,0,1,74.62
406,20190729,830620,4.0,1.0,0.0,0,0,0,74.62
419,20190730,830620,4.0,3.0,0.0,1,0,0,74.62
432,20190731,830620,4.0,4.0,0.0,1,0,0,74.62
